Catalog No,Reign Era,Reign Dates,Temple/Personal Name,Mint,Obverse Inscription,Description,Rarity (Hartill: lower=rarer),Entry Date,Book Page,PDF Page
22.20,Shunzhi,1644-1661,Shi Zu,"Board of Revenue (Boo-chiowan, Peking)",腹(顺)治通# Shun Zhi tong bao,Rev: 户 Iu above。 [02180 8,8,,282,2
22.21,Shunzhi,1644-1661,Shi Zu,"Board of Revenue (Boo-chiowan, Peking)",腹(顺)治通# Shun Zhi tong bao,Rev: 新 Jin above. New (?,,,282,2
22.22,Shunzhi,1644-1661,Shi Zu,"Board of Revenue (Boo-chiowan, Peking)",腹(顺)治通# Shun Zhi tong bao,Rev: 工 Gong Tight The,,,282,2
22.53,Shunzhi,1644-1661,Shi Zu,"Board of Revenue (Boo-chiowan, Peking)",旗(顺)治通赛 Shun Zhi tong bao,Rev: 工 Gong right The,,,283,3
22.71,Shunzhi,1644-1661,Shi Zu,"Board of Revenue (Boo-chiowan, Peking)",顺(顺)治通 Shun Zhi tong bao,Rev,,,284,4
22.10,Shunzhi,1644-1661,Shi Zu,"Board of Works (Boo-yuwan, Peking)",顺(顺)治通| Shun Zhi tong bao,Substantial coin nominal weight 1.6 qian. The $of 治 written as two strokes 13 Attributed to casting in Shenyang; before the Manchis captured Peking。 Nominal weight 1 qian,,,281,1
22.11,Shunzhi,1644-1661,Shi Zu,"Board of Works (Boo-yuwan, Peking)",顺(顺)治通| Shun Zhi tong bao,"Obv: One dot tong。 Rev: Plain。 TD2176,51359",6,,281,1
22.12,Shunzhi,1644-1661,Shi Zu,"Board of Works (Boo-yuwan, Peking)",顺(顺)治通| Shun Zhi tong bao,"Rer: Circle above。 卫D2177,51388 93 Rev: Crcezht 蕙",7,,281,1
22.13,Shunzhi,1644-1661,Shi Zu,"Board of Works (Boo-yuwan, Peking)",,,,,281,1
22.14,Shunzhi,1644-1661,Shi Zu,"Board of Works (Boo-yuwan, Peking)",,,,,281,1
22.15,Shunzhi,1644-1661,Shi Zu,"Board of Works (Boo-yuwan, Peking)",顺(顺)治通| Shun Zhi tong bao,Rev Ki (one) right。 002178,,,281,1
22.16,Shunzhi,1644-1661,Shi Zu,"Board of Works (Boo-yuwan, Peking)",顺(顺)治通| Shun Zhi tong bao,"Obv: Two dot tong. Rev: Plaln。 Type B. No mint names. 缶 Row bao。 Square head tong. Nominal weight 1.2 qian。 1645.46。 Cf20.333 similar Nling COTI Possibly from the Nanking minl。 02,11 Obv One dot tong。 Rev: Plain",,1645-46,281,1
22.18,Shunzhi,1644-1661,Shi Zu,"Board of Works (Boo-yuwan, Peking)",顺(顺)治通| Shun Zhi tong bao,"Obv: Two dot tong。 14 One dol tong coins can be attributed to the Board Ol Revente minl, and two dot tOnE couns to the Board ol Worhs by Uirtue of their relatie frequency; comparisons with Chong Zhen coins (eg 20.266 and 20.269) are problematic as one /two dot tOnB Was Tot consistently tsed by each Board for these",,,281,1
22.19,Shunzhi,1644-1661,Shi Zu,"Board of Works (Boo-yuwan, Peking)",腹(顺)治通# Shun Zhi tong bao,Rev: 户 Hu right. The,,,282,2
22.23,Shunzhi,1644-1661,Shi Zu,"Board of Works (Boo-yuwan, Peking)",腹(顺)治通# Shun Zhi tong bao,Rev: 工 Gong above T02182 翌,2,,282,2
22.24,Shunzhi,1644-1661,Shi Zu,"Board of Works (Boo-yuwan, Peking)",顺(顺)治通| Shun Zhi tong bao,,,,282,2
22.34,Shunzhi,1644-1661,Shi Zu,"Board of Works (Boo-yuwan, Peking)",顺(顺)治通| Shun Zhi tong bao,,,,282,2
22.54,Shunzhi,1644-1661,Shi Zu,"Board of Works (Boo-yuwan, Peking)",旗(顺)治通赛 Shun Zhi tong bao,Rev: Ru right,,,283,3
22.72,Shunzhi,1644-1661,Shi Zu,"Board of Works (Boo-yuwan, Peking)",顺(顺)治通 Shun Zhi tong bao,Rev: He left; 河 He right,,,284,4
22.38,Shunzhi,1644-1661,Shi Zu,"Datong, Shanxi",腹(顺)治通# Shun Zhi tong bao,Rev; 原 Yuan right,,,282,2
22.79,Shunzhi,1644-1661,Shi Zu,"Datong, Shanxi",(顺)治通l Shun Zhi tong bao,Rev: Yuwan left 原 Yian,,,285,5
22.25,Shunzhi,1644-1661,Shi Zu,"Fuzhou, Fujian",腹(顺)治通# Shun Zhi tong bao,Rev: 河 He Lght,,,282,2
22.55,Shunzhi,1644-1661,Shi Zu,"Fuzhou, Fujian",旗(顺)治通赛 Shun Zhi tong bao,Rev: 河 He right,,,283,3
22.45,Shunzhi,1644-1661,Shi Zu,"Hangzhou, Zhejiang",旗(顺)治通赛 Shun Zhi tong bao,Rev: 浙 Zhe Rght。 One dot tong,,,283,3
22.46,Shunzhi,1644-1661,Shi Zu,"Hangzhou, Zhejiang",旗(顺)治通赛 Shun Zhi tong bao,"Rev Zhe above. One dot tong p02209,51379",,,283,3
22.47,Shunzhi,1644-1661,Shi Zu,"Hangzhou, Zhejiang",旗(顺)治通赛 Shun Zhi tong bao,Rev: Jnght. Jizhou,,,283,3
